Title,Start,End,Venue,Price
Shavuot garden party,2025-06-01 15:00,2025-06-01 17:00,"Jewish Vegetarian Society, 853 Finchley Road, London, NW11 1LX",12.0
Seed Sowing Session,2025-03-25 18:30,,"Jewish Vegetarian Society, 853 Finchley Road, London, NW11 1LX",5.0
Six Inches of Soil Screening and Q and A,2025-02-09 18:30,,"Jewish Vegetarian Society, 853 Finchley Road, London, NW11 1LX",10.0
Community Gardening Club,2025-05-04 14:00,,"Jewish Vegetarian Society, 853 Finchley Road, London, NW11 1LX",0.0
Let's make cheesecake for Shavuot,2025-05-30 14:30,2025-05-30 17:00,"Jewish Vegetarian Society, 853 Finchley Road, London, NW11 1LX",0.0
Community planning brunch,2024-12-15 11:00,2024-12-15 14:00,"Jewish Vegetarian Society, 853 Finchley Road, London, NW11 1LX",8.0
Cook and brunch together,2024-12-15 10:30,2024-12-15 14:00,"Jewish Vegetarian Society, 853 Finchley Road, London, NW11 1LX",15.0
Garden to plate lunch 3rd August,2025-08-03 11:00,2025-08-03 14:00,"Jewish Vegetarian Society, 853 Finchley Road, London, NW11 1LX",0.0
Veganuary Cooking Class,2025-01-12 11:30,2025-01-12 15:00,"Jewish Vegetarian Society, 853 Finchley Road, London, NW11 1LX",20.0
